product,price,weight,maker,description,img_src
Sanyo Sapporo Ichiban Miso Ramen (USA),£1.99,101g,Sanyo,Sapporo Ichiban make some of our favourite instant ramen. Ichiban literally means ‘Number 1’ in Japanese so you can be guaranteed a great taste for all the ramen noodles in this range. This miso-flavoured ramen is a popular choice for ramen soup in Japan with a rich salty miso taste. Easily enjoy the tastyramen noodlesin a few minutes.,https://cdn.media.amplience.net/i/japancentre/603-1-Sanyo-Sapporo-Ichiban-Miso-Ramen?w=569&h=569&sm=c&fmt=auto
Nissin Demae Iccho Sesame Ramen (EU),£0.89,100g,Nissin Foods,"Chewyramen noodleswith warming, satisfying sesame.",https://cdn.media.amplience.net/i/japancentre/11138-1-Nissin-Demae-Iccho-Sesame-Ramen?w=569&h=569&sm=c&fmt=auto
Nissin Yakisoba (UK),£0.85,100g,Nissin Foods,Savouryyakisobaready in minutes.,https://cdn.media.amplience.net/i/japancentre/11157-1-Nissin-Yakisoba?w=569&h=569&sm=c&fmt=auto
Nissin Cup Noodles Spicy Seafood Flavour Ramen (Hong Kong),£2.20,72g,Nissin Foods,Slurp up fiery seafood noodle flavour.,https://cdn.media.amplience.net/i/japancentre/16242-1-nissin-cup-noodles-spicy-seafood-flavour-ramen-(hong-kong)?w=569&h=569&sm=c&fmt=auto
Itsuki Kyoto Style Miso Tonkotsu Ramen,£3.79,182g,Itsuki,"Indulge in the rich taste ofwhite misoblended with the sweetness of vegetables like cabbage and onions, complemented by the savoury aroma of sesame.",https://cdn.media.amplience.net/i/japancentre/18950-1-itsuki-kyoto-style-miso-tonkotsu-ramen?w=569&h=569&sm=c&fmt=auto
Hikari Menraku Japanese Spicy Miso Tonkotsu Pork Stock Flavour Ramen,£3.89,81g,Hikari Miso,A combined helping of spicy and umami instant ramen goodness.,https://cdn.media.amplience.net/i/japancentre/17006-1-Hikari-Menraku-Japanese-Spicy-Miso-Tonkotsu-Pork-Stock-Flavour-Ramen?w=569&h=569&sm=c&fmt=auto
Nissin Cup Noodles Seafood Flavour Ramen (Hong Kong),£2.20,72g,Nissin Foods,Slurp up an umami explosion of seafood flavour.,https://cdn.media.amplience.net/i/japancentre/16251-1-nissin-cup-noodles-seafood-flavour-ramen-(hong-kong)?w=569&h=569&sm=c&fmt=auto
Nissin Demae Iccho Miso And Tonkotsu Pork Stock Ramen (Hong Kong),£0.89,100g,Nissin Foods,Full of warming miso flavour.,https://cdn.media.amplience.net/i/japancentre/10918-1-Nissin-Demae-Iccho-Miso-and-Tonkotsu-Pork-Stock-Ramen?w=569&h=569&sm=c&fmt=auto
Nissin Demae Iccho Duck Flavour Ramen (Hungary),£0.89,100g,Nissin Foods,A succulent serving of fragrant duck ramen.,https://cdn.media.amplience.net/i/japancentre/16897-1-nissin-demae-iccho-duck-flavour-ramen-(hungary)?w=569&h=569&sm=c&fmt=auto
Itsuki Sapporo Style Miso Ramen,£3.79,186g,Itsuki,"Authentic Japanese flavourramen noodlesin just 3 minutes!

Made withrich misobroth, aromatic vegetables, and sesame oil, this ramen captures the essence of Sapporo's famous street ramen.",https://cdn.media.amplience.net/i/japancentre/18951-1-itsuki-sapporo-style-miso-ramen-noodles?w=569&h=569&sm=c&fmt=auto
