product,product_link,price,weight,maker,description,img_src
Nissin Yakisoba (UK),https://www.japancentre.com/en/products/11157-nissin-yakisoba-uk,£0.85,100g,Nissin Foods,Savouryyakisobaready in minutes.,https://cdn.media.amplience.net/i/japancentre/11145-1-Nissin-Soba-Fried-Noodles-Classic-Yakisoba?w=250&h=250&sm=c&fmt=auto
Ace Cook Ippin Tonkotsu Ramen Cup Noodles,https://www.japancentre.com/en/products/17270-ace-cook-ippin-tonkotsu-ramen-cup-noodles,£1.25,73g,Acecook,Experience the rich quality of tonkotsu cup ramen noodles!,https://cdn.media.amplience.net/i/japancentre/17269-1-Ace-Cook-Ippin-Ramen-Cup-Noodles-Soy Sauce-Side?w=250&h=250&sm=c&fmt=auto
Nissin Demae Iccho Duck Flavour Ramen (Hungary),https://www.japancentre.com/en/products/16897-nissin-demae-iccho-duck-flavour-ramen-hungary,£0.84,100g,Nissin Foods,A succulent serving of fragrant duck ramen.,https://cdn.media.amplience.net/i/japancentre/16396-1-Nissin-Demae-Iccho-Five-Spice-Beef-Flavour-Ramen?w=250&h=250&sm=c&fmt=auto
Sanyo Sapporo Ichiban Miso Ramen (USA),https://www.japancentre.com/en/products/603-sanyo-sapporo-ichiban-miso-ramen-usa,£1.99,101g,Sanyo,Sapporo Ichiban make some of our favourite instant ramen. Ichiban literally means ‘Number 1’ in Japanese so you can be guaranteed a great taste for all the ramen noodles in this range. This miso-flavoured ramen is a popular choice for ramen soup in Japan with a rich salty miso taste. Easily enjoy the tastyramen noodlesin a few minutes.,https://cdn.media.amplience.net/i/japancentre/18097-1-Higashi-Foods-Kagoshima-Style-Spicy-Tonkotsu-Pork-Stock-Flavour-Ramen?w=250&h=250&sm=c&fmt=auto
Nissin Demae Iccho Sesame Ramen (EU),https://www.japancentre.com/en/products/11138-nissin-demae-iccho-sesame-ramen-eu,£0.84,100g,Nissin Foods,"Chewyramen noodleswith warming, satisfying sesame.",https://cdn.media.amplience.net/i/japancentre/11142-1-Nissin-Demae-Iccho-Spicy-Ramen-(UK)?w=250&h=250&sm=c&fmt=auto
Hikari Menraku Japanese Spicy Miso Tonkotsu Pork Stock Flavour Ramen,https://www.japancentre.com/en/products/17006-hikari-menraku-japanese-spicy-miso-tonkotsu-pork-stock-flavour-ramen,£3.59,81g,Hikari Miso,A combined helping of spicy and umami instant ramen goodness.,https://cdn.media.amplience.net/i/japancentre/17012-1-Hikari-Menraku-Japanese-Miso-Ramen?w=250&h=250&sm=c&fmt=auto
Nissin Cup Noodles Crab Ramen (Hong Kong),https://www.japancentre.com/en/products/11155-nissin-cup-noodles-crab-ramen-hong-kong,£1.87,69g,Nissin Foods,Tasty seafood noodles ready in minutes.,https://cdn.media.amplience.net/i/japancentre/16251-1-nissin-cup-noodles-seafood-flavour-ramen-(hong-kong)?w=250&h=250&sm=c&fmt=auto
Hikari Menraku Japanese Soy Sauce Ramen,https://www.japancentre.com/en/products/17016-hikari-menraku-japanese-soy-sauce-ramen,£3.23,76g,Hikari Miso,An instant serving of sumptuous soy sauce ramen.,https://cdn.media.amplience.net/i/japancentre/17012-1-Hikari-Menraku-Japanese-Miso-Ramen?w=250&h=250&sm=c&fmt=auto
Nissin Demae Iccho Prawn Ramen (UK),https://www.japancentre.com/en/products/11139-nissin-demae-iccho-prawn-ramen-uk,£0.84,100g,Nissin Foods,A fresh seafood taste.,https://cdn.media.amplience.net/i/japancentre/11140-1-Nissin-Demae-Iccho-Chicken-Ramen?w=250&h=250&sm=c&fmt=auto
Ace Cook Ippin Soy Sauce Ramen Cup Noodles,https://www.japancentre.com/en/products/17269-ace-cook-ippin-soy-sauce-ramen-cup-noodles,£1.25,73g,Acecook,A classic serving of succulent soy sauce cup ramen!,https://cdn.media.amplience.net/i/japancentre/17270-1-Ace-Cook-Ippin-Tonkotsu-Ramen-Cup-Noodles-Side?w=250&h=250&sm=c&fmt=auto
