product,price,weight,maker,description,img_src,servings,gpt_outputs,region,spicy,soupy,base
Sanyo Sapporo Ichiban Miso Ramen (USA),1.99,101.0,sanyo,Sapporo Ichiban make some of our favourite instant ramen. Ichiban literally means Number 1 in Japanese so you can be guaranteed a great taste for all the ramen noodles in this range. This miso-flavoured ramen is a popular choice for ramen soup in Japan with a rich salty miso taste. Easily enjoy the tastyramen noodlesin a few minutes.,https://cdn.media.amplience.net/i/japancentre/603-1-Sanyo-Sapporo-Ichiban-Miso-Ramen?w=569&h=569&sm=c&fmt=auto,1,"[Japan, No, Yes, Vegetable]",japan,no,yes,vegetable
Nissin Demae Iccho Sesame Ramen (EU),0.89,100.0,nissinfoods,"Chewyramen noodleswith warming, satisfying sesame.",https://cdn.media.amplience.net/i/japancentre/11138-1-Nissin-Demae-Iccho-Sesame-Ramen?w=569&h=569&sm=c&fmt=auto,1,"[Japan, No, Yes, Vegetable]",japan,no,yes,vegetable
Nissin Yakisoba (UK),0.85,100.0,nissinfoods,Savouryyakisobaready in minutes.,https://cdn.media.amplience.net/i/japancentre/11157-1-Nissin-Yakisoba?w=569&h=569&sm=c&fmt=auto,1,"[Japan, No, Yes, Vegetable]",japan,no,yes,vegetable
Nissin Cup Noodles Spicy Seafood Flavour Ramen (Hong Kong),2.2,72.0,nissinfoods,Slurp up fiery seafood noodle flavour.,https://cdn.media.amplience.net/i/japancentre/16242-1-nissin-cup-noodles-spicy-seafood-flavour-ramen-(hong-kong)?w=569&h=569&sm=c&fmt=auto,1,"[Japan, Yes, Yes, Seafood]",japan,yes,yes,seafood
Itsuki Kyoto Style Miso Tonkotsu Ramen,3.79,182.0,itsuki,"Indulge in the rich taste ofwhite misoblended with the sweetness of vegetables like cabbage and onions, complemented by the savoury aroma of sesame.",https://cdn.media.amplience.net/i/japancentre/18950-1-itsuki-kyoto-style-miso-tonkotsu-ramen?w=569&h=569&sm=c&fmt=auto,1,"[Japan, No, Yes, Vegetable]",japan,no,yes,vegetable
Hikari Menraku Japanese Spicy Miso Tonkotsu Pork Stock Flavour Ramen,3.89,81.0,hikarimiso,A combined helping of spicy and umami instant ramen goodness.,https://cdn.media.amplience.net/i/japancentre/17006-1-Hikari-Menraku-Japanese-Spicy-Miso-Tonkotsu-Pork-Stock-Flavour-Ramen?w=569&h=569&sm=c&fmt=auto,1,"[Japan, Yes, Yes, Pork]",japan,yes,yes,pork
Nissin Cup Noodles Seafood Flavour Ramen (Hong Kong),2.2,72.0,nissinfoods,Slurp up an umami explosion of seafood flavour.,https://cdn.media.amplience.net/i/japancentre/16251-1-nissin-cup-noodles-seafood-flavour-ramen-(hong-kong)?w=569&h=569&sm=c&fmt=auto,1,"[Hong Kong, No, Yes, Seafood]",hongkong,no,yes,seafood
Nissin Demae Iccho Miso And Tonkotsu Pork Stock Ramen (Hong Kong),0.89,100.0,nissinfoods,Full of warming miso flavour.,https://cdn.media.amplience.net/i/japancentre/10918-1-Nissin-Demae-Iccho-Miso-and-Tonkotsu-Pork-Stock-Ramen?w=569&h=569&sm=c&fmt=auto,1,"[Japan, No, Yes, Pork]",japan,no,yes,pork
Nissin Demae Iccho Duck Flavour Ramen (Hungary),0.89,100.0,nissinfoods,A succulent serving of fragrant duck ramen.,https://cdn.media.amplience.net/i/japancentre/16897-1-nissin-demae-iccho-duck-flavour-ramen-(hungary)?w=569&h=569&sm=c&fmt=auto,1,"[Japan, No, Yes, Duck]",japan,no,yes,duck
Itsuki Sapporo Style Miso Ramen,3.79,186.0,itsuki,"Authentic Japanese flavourramen noodlesin just 3 minutes!

Made withrich misobroth, aromatic vegetables, and sesame oil, this ramen captures the essence of Sapporo's famous street ramen.",https://cdn.media.amplience.net/i/japancentre/18951-1-itsuki-sapporo-style-miso-ramen-noodles?w=569&h=569&sm=c&fmt=auto,1,"[Japan, No, Yes, Vegetable]",japan,no,yes,vegetable
Hikari Menraku Japanese Miso Ramen,3.89,90.0,hikarimiso,"A hearty serving of creamy, instant miso ramen.",https://cdn.media.amplience.net/i/japancentre/17012-1-Hikari-Menraku-Japanese-Miso-Ramen?w=569&h=569&sm=c&fmt=auto,1,"[Japan, No, Yes, Vegetable]",japan,no,yes,vegetable
Hikari Menraku Japanese Soy Sauce Ramen,3.89,76.0,hikarimiso,An instant serving of sumptuous soy sauce ramen.,https://cdn.media.amplience.net/i/japancentre/17016-1-Hikari-Menraku-Japanese-Soy-Sauce-Ramen?w=569&h=569&sm=c&fmt=auto,1,"[Japan, No, Yes, Chicken]",japan,no,yes,chicken
Ace Cook Ippin Tonkotsu Ramen Cup Noodles,1.25,73.0,acecook,Experience the rich quality of tonkotsu cup ramen noodles!,https://cdn.media.amplience.net/i/japancentre/17270-1-Ace-Cook-Ippin-Tonkotsu-Ramen-Cup-Noodles-Side?w=569&h=569&sm=c&fmt=auto,1,"[Japan, No, Yes, Pork]",japan,no,yes,pork
Ace Cook Ippin Soy Sauce Ramen Cup Noodles,1.25,73.0,acecook,A classic serving of succulent soy sauce cup ramen!,https://cdn.media.amplience.net/i/japancentre/17269-1-Ace-Cook-Ippin-Ramen-Cup-Noodles-Soy Sauce-Side?w=569&h=569&sm=c&fmt=auto,1,"[Japan, No, Yes, Chicken]",japan,no,yes,chicken
Nissin Demae Iccho Prawn Ramen (UK),0.89,100.0,nissinfoods,A fresh seafood taste.,https://cdn.media.amplience.net/i/japancentre/19112-1-garak-seafood-flavour-ramen-noodle?w=250&h=250&sm=c&fmt=auto,1,"[Japan, No, Yes, Seafood]",japan,no,yes,seafood
