product,price,weight,maker,region,spicy,soupy,base
Sanyo Sapporo Ichiban Miso Ramen (USA),1.99,101.0,sanyo,japan,no,yes,vegetable
Nissin Demae Iccho Sesame Ramen (EU),0.89,100.0,nissinfoods,japan,no,yes,vegetable
Nissin Yakisoba (UK),0.85,100.0,nissinfoods,japan,no,yes,vegetable
Nissin Cup Noodles Spicy Seafood Flavour Ramen (Hong Kong),2.2,72.0,nissinfoods,japan,yes,yes,seafood
Itsuki Kyoto Style Miso Tonkotsu Ramen,3.79,182.0,itsuki,japan,no,yes,vegetable
Hikari Menraku Japanese Spicy Miso Tonkotsu Pork Stock Flavour Ramen,3.89,81.0,hikarimiso,japan,yes,yes,pork
Nissin Cup Noodles Seafood Flavour Ramen (Hong Kong),2.2,72.0,nissinfoods,hongkong,no,yes,seafood
Nissin Demae Iccho Miso And Tonkotsu Pork Stock Ramen (Hong Kong),0.89,100.0,nissinfoods,japan,no,yes,pork
Nissin Demae Iccho Duck Flavour Ramen (Hungary),0.89,100.0,nissinfoods,japan,no,yes,duck
Itsuki Sapporo Style Miso Ramen,3.79,186.0,itsuki,japan,no,yes,vegetable
Hikari Menraku Japanese Miso Ramen,3.89,90.0,hikarimiso,japan,no,yes,vegetable
Hikari Menraku Japanese Soy Sauce Ramen,3.89,76.0,hikarimiso,japan,no,yes,chicken
Ace Cook Ippin Tonkotsu Ramen Cup Noodles,1.25,73.0,acecook,japan,no,yes,pork
Ace Cook Ippin Soy Sauce Ramen Cup Noodles,1.25,73.0,acecook,japan,no,yes,chicken
Nissin Demae Iccho Prawn Ramen (UK),0.89,100.0,nissinfoods,japan,no,yes,seafood
Yamadai New Touch T's Vegan Soy Sauce Ramen,3.45,53.0,yamadai,japan,no,yes,vegan
Nissin Cup Noodles Crab Ramen (Hong Kong),2.2,69.0,nissinfoods,hongkong,no,yes,seafood
Nissin Cup Noodles XO Sauce Seafood Flavour Ramen (Hong Kong),2.2,75.0,nissinfoods,hongkong,no,yes,seafood
Nissin Demae Iccho Sesame Chilli Oil Ramen (Hong Kong),0.89,100.0,nissinfoods,japan,yes,yes,vegetable
Nissin Cup Noodles Chicken Flavour Ramen (Hong Kong),2.2,71.0,nissinfoods,japan,no,yes,chicken
Itsuki Osaka Style Soy Sauce Tonkotsu Ramen,3.79,176.0,itsuki,japan,no,yes,pork
Nissin Demae Iccho Beef Flavour Ramen,0.89,100.0,nissinfoods,japan,yes,yes,beef
Higashi Foods Kagoshima Style Spicy Tonkotsu Pork Stock Flavour Ramen,1.56,78.0,higashifoods,japan,yes,yes,pork
Higashimaru Vegan Samurai Meat Free Ramen,2.1,110.0,higashimaru,japan,no,yes,vegan
"Nong Shim Udon, Big",1.85,111.0,nongshim,southkorea,no,yes,vegetable
Nong Shim Neoguri Seafood & Spicy Ramen,1.25,120.0,nongshim,southkorea,yes,yes,seafood
Nong Shim Tempura Udon Noodle Soup,1.29,62.0,nongshim,japan,no,yes,vegetable
Yamadai New Touch T's Vegan Tan-Tan Ramen Noodles,3.45,72.0,yamadai,japan,no,yes,vegan
Yamadai Vegan Mushroom Cream Soup de Pasta Ramen Noodles,3.45,59.0,yamadai,japan,no,yes,vegan
Samyang Foods Buldak Carbonara Hot Chicken Flavour Ramen Multi-Pack,2.0,130.0,samyangfoods,southkorea,yes,no,chicken
Garak Instant Kimchi Ramen,1.49,120.0,garak,southkorea,yes,yes,vegetable
Nong Shim Gourmet Spicy Shin Ramen Multipack,1.38,120.0,nongshim,southkorea,yes,yes,beef
Yamamoto Seifun Tanuki Oyaji no Ippin Tonkotsu Style Ramen Noodles,2.0,90.0,yamamotoseifun,japan,no,yes,pork
Nissin Demae Iccho Spicy Ramen (UK),0.89,100.0,nissinfoods,japan,yes,yes,chicken
"Nong Shim Gourmet Spicy Shin Ramen, Small",1.39,68.0,nongshim,southkorea,yes,yes,beef
Samyang Foods Hot Chicken Flavoured Ramen Noodles Big Bowl,1.99,105.0,samyangfoods,southkorea,yes,yes,chicken
Nissin Cup Noodle Original,3.89,78.0,nissinfoods,japan,no,yes,chicken
Higashimaru Samurai Ramen,4.2,220.0,higashimaru,japan,no,no,vegan
Hikari Miso Menraku Vegetarian Miso Ramen Noodles,2.0,93.0,hikarimiso,japan,no,yes,vegetable
Nong Shim Kimchi Ramen Multipack,1.26,120.0,nongshim,southkorea,yes,yes,vegetable
Yamadai Vegan Tomato Soup de Pasta Ramen Noodles,2.93,57.0,yamadai,japan,no,yes,vegan
Higashimaru Tonkotsu Kagoshima Ramen,1.56,78.0,higashimaru,japan,no,yes,pork
Samyang Foods Extra Spicy Hot Chicken Flavoured Ramen Big Bowl,2.2,105.0,samyangfoods,southkorea,yes,no,chicken
Nissin Cup Noodles Seafood Noodle,3.89,75.0,nissinfoods,japan,no,yes,seafood
Garak Instant Seafood Ramen,1.49,120.0,garak,southkorea,no,yes,seafood
Higashimaru Yakisoba Instant Noodles,1.56,82.0,higashimaru,japan,no,no,vegan
Nong Shim Neoguri Seafood And Spicy Noodle,6.29,600.0,nongshim,southkorea,yes,yes,seafood
Nong Shim Gourmet Spicy Shin Ramen,1.39,120.0,nongshim,southkorea,yes,yes,pork
